HPQ,10.1,20160225_114119,10.13,
VZ,50.9997,20160225_114119,50.9,
HTCKF,9.9,20160225_114119,9.9,
SNE,21.1,20160225_114119,21.12,
ADBE,85.2,20160225_114119,84.76,
BAC,12.11,20160225_114119,12.14,
GPRO,11.445,20160225_114119,11.69,
FB,107.56,20160225_114119,107.09,
GOOG,697.99,20160225_114119,700.01,
AAPL,96.17,20160225_114119,96.16,
F,12.2331,20160225_114119,12.11,
ARWR,3.8001,20160225_114119,3.86,
BWLD,158.09,20160225_114119,159.25,
BP,28.34,20160225_114119,28.83,
WMT,67.4699,20160225_114119,67.48,
TGT,77.065,20160225_114119,77.0,
AMZN,549.8784,20160225_114119,555.62,
MSFT,51.08,20160225_114119,51.73,
OTIV,0.71,20160225_114119,0.71,
PXLW,1.9537,20160225_114119,2.0,
GOGO,9.79,20160225_114119,9.75,
HPQ,10.1062,20160225_114124,10.13,
VZ,51.0,20160225_114124,50.9,
HTCKF,9.9,20160225_114124,9.9,
SNE,21.1,20160225_114124,21.12,
ADBE,85.165,20160225_114124,84.76,
BAC,12.11,20160225_114124,12.14,
GPRO,11.445,20160225_114124,11.69,
FB,107.5737,20160225_114124,107.09,
GOOG,697.99,20160225_114124,700.01,
AAPL,96.179,20160225_114124,96.16,
F,12.2331,20160225_114124,12.11,
ARWR,3.82,20160225_114124,3.86,
BWLD,158.09,20160225_114124,159.25,
BP,28.33,20160225_114124,28.83,
WMT,67.4699,20160225_114124,67.48,
TGT,77.0654,20160225_114124,77.0,
AMZN,549.8784,20160225_114124,555.62,
MSFT,51.075,20160225_114124,51.73,
OTIV,0.71,20160225_114124,0.71,
PXLW,1.9537,20160225_114124,2.0,
GOGO,9.79,20160225_114124,9.75,
HPQ,10.1,20160225_114129,10.13,
VZ,51.0,20160225_114129,50.9,
HTCKF,9.9,20160225_114129,9.9,
SNE,21.1,20160225_114129,21.12,
ADBE,85.165,20160225_114129,84.76,
BAC,12.11,20160225_114129,12.14,
GPRO,11.445,20160225_114129,11.69,
FB,107.55,20160225_114129,107.09,
GOOG,697.99,20160225_114129,700.01,
AAPL,96.16,20160225_114129,96.16,
F,12.2385,20160225_114129,12.11,
ARWR,3.82,20160225_114129,3.86,
BWLD,158.14,20160225_114129,159.25,
BP,28.33,20160225_114129,28.83,
WMT,67.455,20160225_114129,67.48,
TGT,77.0,20160225_114129,77.0,
AMZN,549.59,20160225_114129,555.62,
MSFT,51.0799,20160225_114129,51.73,
OTIV,0.71,20160225_114129,0.71,
PXLW,1.9537,20160225_114129,2.0,
GOGO,9.79,20160225_114129,9.75,
HPQ,10.105,20160225_114134,10.13,
VZ,51.0,20160225_114134,50.9,
HTCKF,9.9,20160225_114134,9.9,
SNE,21.1,20160225_114134,21.12,
ADBE,85.14,20160225_114134,84.76,
BAC,12.11,20160225_114134,12.14,
GPRO,11.445,20160225_114134,11.69,
FB,107.55,20160225_114134,107.09,
GOOG,697.99,20160225_114134,700.01,
AAPL,96.155,20160225_114134,96.16,
F,12.235,20160225_114134,12.11,
ARWR,3.82,20160225_114134,3.86,
BWLD,158.14,20160225_114134,159.25,
BP,28.32,20160225_114134,28.83,
WMT,67.44,20160225_114134,67.48,
TGT,76.99,20160225_114134,77.0,
AMZN,549.59,20160225_114134,555.62,
MSFT,51.07,20160225_114134,51.73,
OTIV,0.71,20160225_114134,0.71,
PXLW,1.9537,20160225_114134,2.0,
GOGO,9.8083,20160225_114134,9.75,
HPQ,10.1,20160225_114139,10.13,
VZ,51.0,20160225_114139,50.9,
HTCKF,9.9,20160225_114139,9.9,
SNE,21.1,20160225_114139,21.12,
ADBE,85.175,20160225_114139,84.76,
BAC,12.11,20160225_114139,12.14,
GPRO,11.445,20160225_114139,11.69,
FB,107.54,20160225_114139,107.09,
GOOG,698.0,20160225_114139,700.01,
AAPL,96.17,20160225_114139,96.16,
F,12.2391,20160225_114139,12.11,
ARWR,3.82,20160225_114139,3.86,
BWLD,158.14,20160225_114139,159.25,
BP,28.3199,20160225_114139,28.83,
WMT,67.45,20160225_114139,67.48,
TGT,77.04,20160225_114139,77.0,
